Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,results
0,mostly-true,Catherine Cortez Masto,"Adam Laxalt ""wants to restrict"" and ""worked to limit access to birth control.""",6/14/2022,advertisement,Tom Kertscher,6/23/2022,https://www.politifact.com/factchecks/2022/jun/23/catherine-cortez-masto/gop-nevada-senate-hopeful-adam-laxalt-backed-birth/,FALSE
1,mostly-true,Beto O'Rourke,"Texas is ""50th in the nation in mental health care access.""",5/25/2022,speech,Ciara O'Rourke,5/25/2022,https://www.politifact.com/factchecks/2022/may/25/beto-orourke/recent-report-put-texas-last-among-states-and-dc-m/,TRUE
3,mostly-false,Evan McMullin,"""As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.""",3/6/2022,advertisement,Tom Kertscher,3/7/2022,https://www.politifact.com/factchecks/2022/mar/07/evan-mcmullin/evan-mcmullin-ad-portraying-gop-utah-sen-mike-lee-/,FALSE
4,false,Bloggers,"List shows ""1,000 peer reviewed studies questioning COVID-19 vaccine safety""",1/20/2022,blog,Monique Curet,2/17/2022,https://www.politifact.com/factchecks/2022/feb/17/blog-posting/studies-included-list-do-not-question-covid-19-vac/,FALSE
5,true,Tim Kaine,"""Virginia women are paid 80 cents for every dollar paid to Virginia men.""",3/15/2022,social_media,Warren Fiske,3/18/2022,https://www.politifact.com/factchecks/2022/mar/18/tim-kaine/kaine-correctly-describes-virginias-pay-gap-betwee/,TRUE
6,false,Tweets,"ICE is in Uvalde, Texas, ""so undocumented parents have to consider arrest deportation before they go check to see if their kids are alive.""",5/24/2022,social_media,Nusaiba Mizan,5/25/2022,https://www.politifact.com/factchecks/2022/may/25/tweets/ice-not-carrying-out-immigration-enforcement-uvald/,FALSE
7,mostly-true,Chris Murphy,"""Most of these killers tend to be 18, 19 years old.""",5/24/2022,news,Louis Jacobson,5/25/2022,https://www.politifact.com/factchecks/2022/may/25/chris-murphy/fact-checking-chris-murphy-ages-mass-shooters/,FALSE
8,false,Sonia Sotomayor,"""We have over 100,000 children, which we’ve never had before, in serious condition, and many on ventilators"" due to the coronavirus.",1/7/2022,other,Jon Greenberg,1/7/2022,https://www.politifact.com/factchecks/2022/jan/07/sonia-sotomayor/fact-checking-sotomayor-kids-severe-covid-19/,FALSE
9,mostly-false,Republican Party of Wisconsin,"On Gov. Tony ""Evers’ watch…the efficiency of the state crime lab has plummeted.""",5/2/2022,statement,Laura Schulte,5/26/2022,https://www.politifact.com/factchecks/2022/may/26/republican-party-wisconsin/wis-gov-evers-didnt-cause-slowdown-state-crime-lab/,FALSE
13,mostly-true,Glenn Youngkin,"Virginia’s economic growth ""has stalled at less than 1% per year for eight years.""",1/17/2022,speech,Warren Fiske,2/14/2022,https://www.politifact.com/factchecks/2022/feb/14/glenn-youngkin/has-virginias-economic-growth-stalled-less-1-young/,FALSE
