index,label,claim,results
2.0,FALSE,Says John McCain has done nothing to help the vets.,FALSE
5.0,TRUE,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,partly-TRUE
9.0,barely-true,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,partly-TRUE
13.0,FALSE,"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",FALSE
15.0,TRUE,Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,partly-TRUE
16.0,FALSE,Unfortunately we have documented instances where people defecated in the (Statehouse) building.,partly-TRUE
19.0,FALSE,Ronald Reagan faced an even worse recession than the current one.,partly-TRUE
31.0,FALSE,"Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.",TRUE
32.0,half-true,On which team hes rooting for in the World Series.,TRUE
34.0,TRUE,The United States has a low voter turnout rate.,TRUE
40.0,barely-true,Pre-existing conditions are covered under my (health care) plan.,partly-TRUE
45.0,barely-true,"Says as a result of the national health care reform, the Congressional Budget Office says we save $250 million over the first 10 years. Over the next 10 years, we save $1.2 trillion in savings in terms of health care.",partly-TRUE
49.0,barely-true,A salesclerk at Hobby Lobby who needs contraception is not going to get that service through her employers health care plan because her employer doesnt think she should be using contraception.,TRUE
50.0,half-true,Says Charlie Crist voted against raising the minimum wage.,partly-TRUE
52.0,mostly-true,"Already, a prototype driverless car has traveled more than 300,000 miles in the crowded maze of California streets without a single accident.",partly-TRUE
62.0,TRUE,Says Bill and Hillary Clinton attended Donald Trumps last wedding.,TRUE
64.0,half-true,"Obamacare insurance cooperative failures should be expected because theyre like any business, and when you start businesses in America, at the fifth year, half of the businesses have closed.",partly-TRUE
66.0,mostly-true,Says Marco Rubio said Social Security and Medicare haveweakened us as a people.,partly-TRUE
70.0,half-true,"Of the 20 bills [Rep. David] Cicilline has sponsored in his three years in office, not a single one has advanced past the embryonic committee stage.",partly-TRUE
72.0,barely-true,"Any state tax law has to start in the House and the renewal of the state hospital bed tax this year started in the Senate, which is unconstitutional.",FALSE
73.0,mostly-true,"Every child born today inherits a $30,000 share in a national debt that stands at more than $13 trillion.",partly-TRUE
76.0,FALSE,What the facts say is ...the best scenario for kids is a loving mom and dad.,partly-TRUE
77.0,FALSE,Says Mark Neumann = Nancy Pelosi,FALSE
78.0,half-true,"To hear Gov. Christie tell it, everything in New Jersey is going just fine. Well I see another New Jersey with 400,000 unemployed. One of the worst jobless rates in the country. Working and middle class families have seen costs soar, from property taxes to college tuition.",partly-TRUE
79.0,barely-true,Says delegates cant legally change the Republican National Convention rules to prevent Donald Trumps nomination.,partly-TRUE
82.0,TRUE,Providence has the lowest crime rate in three decades.,partly-TRUE
83.0,FALSE,On banning earmarks.,partly-TRUE
88.0,FALSE,A judges order means theres a Constitution exemption zone if you live within 100 miles of the United States border.,partly-TRUE
91.0,TRUE,"Under Mayor Tom Barrett, the number of Milwaukee police officers has not increased.",partly-TRUE
92.0,barely-true,Taxpayers subsidize 80 percent of each MARTA trip,partly-TRUE
96.0,TRUE,"Before World War II, very few people actually had health insurance.",TRUE
101.0,barely-true,"When Atlanta Police Chief George Turner was interim head of the department, overall crime fell 14 percent and violent crime dropped 22.7 percent.",partly-TRUE
105.0,half-true,Muslim nations did not call out the people who celebrated the 9/11 attacks.,partly-TRUE
108.0,TRUE,Iran President Hassan Rouhani has more Cabinet members with Ph.D.s from American universities than members of Barack Obamas Cabinet.,partly-TRUE
109.0,TRUE,"The words subhuman mongrel, which Ted Nugent called President Barack Obama, were used by the Nazis to justify the genocide of the Jewish community.",partly-TRUE
111.0,FALSE,Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan.,FALSE
118.0,half-true,Says Mitt Romney flip-flopped on an assault weapons ban.,TRUE
123.0,barely-true,"Neville Chamberlain told the British people: Accept the Nazis. Yes, they will dominate the continent of Europe, but that is not our problem. Lets appease them. Why? Because it cant be done. We cannot possibly stand against them.",FALSE
125.0,mostly-true,Wisconsin is dead last in the Midwest for job creation.,partly-TRUE
126.0,half-true,On running a civil and polite campaign.,TRUE
128.0,half-true,"The federal government reviewed and verified his administrations numbers showing Wisconsin added 23,608 jobs in 2011.",partly-TRUE
133.0,FALSE,Says state Sen. Sheila Harsdorf wants to eliminate Medicare as we know it.,partly-TRUE
136.0,barely-true,I did not I did not I do not say that. I do not say that climate change is a hoax perpetrated by the Chinese.,TRUE
