Unnamed: 0,claim,label,results
0,The US bought 90% of Remdesivir stocks,TRUE,FALSE
1,Writer Dean Koontz predicted the appearance of the coronavirus in his book in 1981 and called it Wuhan-400,partly true/misleading,FALSE
5,Nigeria has the highest number of out-of-school girls in the world.,mostly true,FALSE
8,"...According to scientific statistics, overall, each addict draws an average of 5 to 17 people into drug use ...",partly true/misleading,FALSE
11,"On public transport, you have to be careful not to prick yourself with syringes from drug addicts. In Veenendaal, a syringe was found in a bus.",FALSE,True
12,Population increase is directly linked with socio-economic development,mostly false,FALSE
15,Man with three wives gets three apartments in Sweden,partly true/misleading,FALSE
16,Cutting unemployment benefits will not get people into work.,partly true/misleading,FALSE
19,Allegations about the UK Parliament's decision on Nagorno-Karabakh,FALSE,FALSE
22,Civil and political rights are defended,FALSE,True
23,Nigeria has not taken on external debt since 2013,FALSE,FALSE
27,Tsereteli to build 193-meter monument to Nazarbayev,FALSE,True
28,Good news about the coronavirus,partly true/misleading,FALSE
31,Kazakhstan government banned free purchase of currency,partly true/misleading,FALSE
35,"Foreigners cannot invest in banking, real estate or retail in Ethiopia.",mostly true,FALSE
38,Zoom's increasing errors may pose a threat to Kazakhstan,partly true/misleading,FALSE
40,Nearly three-quarters of young men do not want a woman as boss.,FALSE,FALSE
42,"In 2015, at the time of the first conference in Abidjan, Africa's GDP had been growing at nearly 5% for the past 15 years.",mostly true,FALSE
43,"In many countries (UK, Germany, Italy, Netherlands) there is a system of distributing light drugs in special places",FALSE,FALSE
44,Electronic monitoring is a punishment that works.,TRUE,FALSE
45,Opposition to the EEA Agreement has never been greater.,FALSE,FALSE
46,The number of reports of violence (...) has increased by 16.4 percent since 2015.,FALSE,FALSE
47,"90% of the country's mayors earn less than 300,000 CFA francs.",partly true/misleading,FALSE
54,The rate of increase of real employment increases inflation by two to three times,FALSE,FALSE
58,WHO has declared a COVID-19 coronavirus pandemic,TRUE,True
60,"More than 700,000 people are out of work due to health problems.",FALSE,FALSE
61,"Introduced a program of mental diagnosis and ""treatment"" of children in kindergartens and schools. (This may lead to mass psychiatric diagnoses of children).",FALSE,FALSE
62,"Covid-19 can be cured with hydroxychloroquine, zinc and azithromycin.",FALSE,FALSE
