index,label,claim,results
1.0,FALSE,Wisconsin is on pace to double the number of layoffs this year.,half-true
2.0,FALSE,Says John McCain has done nothing to help the vets.,barely-true
3.0,half-true,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,mostly-true
5.0,TRUE,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,mostly-true
9.0,barely-true,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,mostly-true
13.0,FALSE,"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",FALSE
15.0,TRUE,Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,mostly-true
16.0,FALSE,Unfortunately we have documented instances where people defecated in the (Statehouse) building.,FALSE
19.0,FALSE,Ronald Reagan faced an even worse recession than the current one.,FALSE
21.0,half-true,Says Mitt Romney was one of the first national Republican leaders to endorse Marco Rubio.,half-true
26.0,barely-true,I was gone when there was a red line against Syria.,FALSE
29.0,mostly-true,Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts.,mostly-true
31.0,FALSE,"Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.",half-true
32.0,half-true,On which team hes rooting for in the World Series.,half-true
34.0,TRUE,The United States has a low voter turnout rate.,half-true
36.0,barely-true,"Because of the federal health care law, 300,000 health plans canceled in Florida.",FALSE
40.0,barely-true,Pre-existing conditions are covered under my (health care) plan.,mostly-true
45.0,barely-true,"Says as a result of the national health care reform, the Congressional Budget Office says we save $250 million over the first 10 years. Over the next 10 years, we save $1.2 trillion in savings in terms of health care.",mostly-true
49.0,barely-true,A salesclerk at Hobby Lobby who needs contraception is not going to get that service through her employers health care plan because her employer doesnt think she should be using contraception.,TRUE
50.0,half-true,Says Charlie Crist voted against raising the minimum wage.,TRUE
51.0,barely-true,Hillary Clinton said gun confiscation would be worth considering.,FALSE
52.0,mostly-true,"Already, a prototype driverless car has traveled more than 300,000 miles in the crowded maze of California streets without a single accident.",barely-true
57.0,half-true,"Studies have shown that in the absence of federal reproductive health funds, we are going to see the level of abortion in Georgia increase by about 44 percent.",TRUE
62.0,TRUE,Says Bill and Hillary Clinton attended Donald Trumps last wedding.,FALSE
64.0,half-true,"Obamacare insurance cooperative failures should be expected because theyre like any business, and when you start businesses in America, at the fifth year, half of the businesses have closed.",FALSE
66.0,mostly-true,Says Marco Rubio said Social Security and Medicare haveweakened us as a people.,FALSE
70.0,half-true,"Of the 20 bills [Rep. David] Cicilline has sponsored in his three years in office, not a single one has advanced past the embryonic committee stage.",FALSE
72.0,barely-true,"Any state tax law has to start in the House and the renewal of the state hospital bed tax this year started in the Senate, which is unconstitutional.",barely-true
73.0,mostly-true,"Every child born today inherits a $30,000 share in a national debt that stands at more than $13 trillion.",FALSE
76.0,FALSE,What the facts say is ...the best scenario for kids is a loving mom and dad.,FALSE
77.0,FALSE,Says Mark Neumann = Nancy Pelosi,FALSE
78.0,half-true,"To hear Gov. Christie tell it, everything in New Jersey is going just fine. Well I see another New Jersey with 400,000 unemployed. One of the worst jobless rates in the country. Working and middle class families have seen costs soar, from property taxes to college tuition.",TRUE
79.0,barely-true,Says delegates cant legally change the Republican National Convention rules to prevent Donald Trumps nomination.,TRUE
82.0,TRUE,Providence has the lowest crime rate in three decades.,FALSE
83.0,FALSE,On banning earmarks.,mostly-true
86.0,barely-true,The decision for the United States to buy heavy water from Iran will directly subsidize Irans nuclear program.,barely-true
87.0,mostly-true,The Texas Department of Transportation... misplaced a billion dollars.,FALSE
88.0,FALSE,A judges order means theres a Constitution exemption zone if you live within 100 miles of the United States border.,mostly-true
89.0,TRUE,"Pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry.",FALSE
